file,vertices,edges,Tarjan_SCC_count,Tarjan_time_ms,Tarjan_DFS_ops,Kahn_time_ms,Kahn_queue_ops,DAGSP_short_time_ms,DAGSP_short_relax_ops,DAGSP_long_time_ms,DAGSP_long_relax_ops,DAGSP_long_max
dag_small1.json,6,8,6,0.0499,6,0.0176,12,0.0299,8,0.0271,5,12
large1.json,30,30,24,0.0401,30,0.0565,48,0.0308,21,0.0221,21,21
large2.json,40,40,34,0.0505,40,0.0478,68,0.0215,32,0.0218,32,32
large3.json,50,53,30,0.054,50,0.0393,60,0.026,29,0.0344,29,29
medium1.json,14,15,10,0.0226,14,0.0154,20,0.0077,9,0.0071,9,8
medium2.json,16,16,14,0.0228,16,0.02,28,0.0119,13,0.01,13,13
medium3.json,18,18,13,0.0245,18,0.0676,26,0.0087,10,0.0082,10,10
small1.json,6,6,4,0.0125,6,0.0081,8,0.0036,3,0.0033,3,6
small2.json,8,7,8,0.0132,8,0.0167,16,0.0067,7,0.0127,7,4
small3.json,10,10,6,0.0182,10,0.0133,12,0.0048,4,0.0044,4,4
